-9.503863564705882538e+01	1.812672385294117561e+01
-1.025395045773195903e+02	2.206867697938144346e+01
-1.133549494818181813e+02	2.776924488909090982e+01
-9.916775474321782724e+01	1.929824804797029714e+01
-1.073199715128205156e+02	2.507507123076922895e+01
-8.893780344441177022e+01	2.022146591014706019e+01
-9.950803591919191149e+01	2.518138325252525078e+01
-1.089081602786885270e+02	2.725443532786885115e+01
-1.156051346636363633e+02	3.199999169696970114e+01
-9.280018282905982119e+01	1.746386276068376020e+01
-9.690172515934210651e+01	1.853255119013157781e+01
-1.010613928132812447e+02	2.044597244703124872e+01
-1.059283333333333417e+02	2.974861108333332993e+01
-1.037913791403508839e+02	2.468211987719298151e+01
-1.103061064791666723e+02	3.046257754624999947e+01
-1.010468035285714308e+02	2.819613888857142925e+01
-9.873521825714286138e+01	2.190099204285714407e+01
-9.966056943062500295e+01	1.752503714587500028e+01
-1.052208525172413829e+02	2.249019158620689751e+01
-1.102227923684210538e+02	2.391307021052631399e+01
-1.033715398970873736e+02	1.980587378203883375e+01
-9.268669695986110924e+01	1.581030893055555708e+01
-1.061977030000000042e+02	2.810927353846154020e+01
-1.128436109999999957e+02	1.853763899999999865e+01
-1.105274470952380881e+02	2.870466928571428156e+01
-1.052478544068965505e+02	2.614908049413793023e+01
-9.579602340052630893e+01	1.651582604394736720e+01
-9.741325990909091104e+01	1.985285811570247816e+01
